<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
IMOEX,D,20150105,00:00,1435.6600000
IMOEX,D,20150106,00:00,1480.7300000
IMOEX,D,20150108,00:00,1547.3900000
IMOEX,D,20150109,00:00,1515.3700000
IMOEX,D,20150112,00:00,1513.2200000
IMOEX,D,20150113,00:00,1533.0900000
IMOEX,D,20150114,00:00,1554.4600000
IMOEX,D,20150115,00:00,1563.2100000
IMOEX,D,20150116,00:00,1591.4300000
IMOEX,D,20150119,00:00,1576.4000000
IMOEX,D,20150120,00:00,1570.9700000
IMOEX,D,20150121,00:00,1618.1700000
IMOEX,D,20150122,00:00,1666.5600000
IMOEX,D,20150123,00:00,1671.8000000
IMOEX,D,20150126,00:00,1642.3700000
IMOEX,D,20150127,00:00,1673.9200000
IMOEX,D,20150128,00:00,1647.7100000
IMOEX,D,20150129,00:00,1639.6500000
IMOEX,D,20150130,00:00,1647.6900000
IMOEX,D,20150202,00:00,1625.3100000
IMOEX,D,20150203,00:00,1654.3600000
IMOEX,D,20150204,00:00,1656.0200000
IMOEX,D,20150205,00:00,1696.0600000
IMOEX,D,20150206,00:00,1755.4500000
IMOEX,D,20150209,00:00,1748.5500000
IMOEX,D,20150210,00:00,1742.3500000
IMOEX,D,20150211,00:00,1763.6000000
IMOEX,D,20150212,00:00,1802.8000000
IMOEX,D,20150213,00:00,1838.1800000
IMOEX,D,20150216,00:00,1800.5900000
IMOEX,D,20150217,00:00,1793.8200000
IMOEX,D,20150218,00:00,1809.6700000
IMOEX,D,20150219,00:00,1797.8700000
IMOEX,D,20150220,00:00,1792.7000000
IMOEX,D,20150224,00:00,1772.1600000
IMOEX,D,20150225,00:00,1746.2300000
IMOEX,D,20150226,00:00,1760.6600000
IMOEX,D,20150227,00:00,1758.9700000
IMOEX,D,20150302,00:00,1783.3400000
IMOEX,D,20150303,00:00,1807.7000000
IMOEX,D,20150304,00:00,1759.3500000
IMOEX,D,20150305,00:00,1760.5500000
IMOEX,D,20150306,00:00,1728.5500000
IMOEX,D,20150310,00:00,1665.3800000
IMOEX,D,20150311,00:00,1671.4700000
IMOEX,D,20150312,00:00,1664.7000000
IMOEX,D,20150313,00:00,1627.8800000
IMOEX,D,20150316,00:00,1609.8500000
IMOEX,D,20150317,00:00,1611.6900000
IMOEX,D,20150318,00:00,1632.1200000
IMOEX,D,20150319,00:00,1607.9700000
IMOEX,D,20150320,00:00,1628.6400000
IMOEX,D,20150323,00:00,1602.8500000
IMOEX,D,20150324,00:00,1618.6200000
IMOEX,D,20150325,00:00,1615.5000000
IMOEX,D,20150326,00:00,1581.8400000
IMOEX,D,20150327,00:00,1571.5500000
IMOEX,D,20150330,00:00,1612.8400000
IMOEX,D,20150331,00:00,1626.1800000
IMOEX,D,20150401,00:00,1661.9000000
IMOEX,D,20150402,00:00,1679.2400000
IMOEX,D,20150403,00:00,1681.4700000
IMOEX,D,20150406,00:00,1700.6400000
IMOEX,D,20150407,00:00,1695.6400000
IMOEX,D,20150408,00:00,1683.6300000
IMOEX,D,20150409,00:00,1667.6000000
IMOEX,D,20150410,00:00,1657.0200000
IMOEX,D,20150413,00:00,1678.1900000
IMOEX,D,20150414,00:00,1647.3900000
IMOEX,D,20150415,00:00,1677.7000000
IMOEX,D,20150416,00:00,1686.7900000
IMOEX,D,20150417,00:00,1656.5900000
IMOEX,D,20150420,00:00,1683.2400000
IMOEX,D,20150421,00:00,1710.2400000
IMOEX,D,20150422,00:00,1677.5600000
IMOEX,D,20150423,00:00,1662.6400000
IMOEX,D,20150424,00:00,1682.7000000
IMOEX,D,20150427,00:00,1677.2200000
IMOEX,D,20150428,00:00,1677.8900000
IMOEX,D,20150429,00:00,1670.9900000
IMOEX,D,20150430,00:00,1688.3400000
IMOEX,D,20150505,00:00,1721.8000000
IMOEX,D,20150506,00:00,1714.3100000
IMOEX,D,20150507,00:00,1686.9800000
IMOEX,D,20150508,00:00,1708.5200000
IMOEX,D,20150512,00:00,1704.6200000
IMOEX,D,20150513,00:00,1682.2600000
IMOEX,D,20150514,00:00,1677.5700000
IMOEX,D,20150515,00:00,1691.4600000
IMOEX,D,20150518,00:00,1678.5500000
IMOEX,D,20150519,00:00,1659.3600000
IMOEX,D,20150520,00:00,1636.8600000
IMOEX,D,20150521,00:00,1659.3300000
IMOEX,D,20150522,00:00,1665.6600000
IMOEX,D,20150525,00:00,1655.4000000
IMOEX,D,20150526,00:00,1651.6600000
IMOEX,D,20150527,00:00,1660.9800000
IMOEX,D,20150528,00:00,1657.6200000
IMOEX,D,20150529,00:00,1609.1900000
IMOEX,D,20150601,00:00,1616.9400000
IMOEX,D,20150602,00:00,1643.4100000
IMOEX,D,20150603,00:00,1628.8700000
IMOEX,D,20150604,00:00,1638.0700000
IMOEX,D,20150605,00:00,1652.0700000
IMOEX,D,20150608,00:00,1646.8900000
IMOEX,D,20150609,00:00,1664.0100000
IMOEX,D,20150610,00:00,1653.0900000
IMOEX,D,20150611,00:00,1652.2400000
IMOEX,D,20150615,00:00,1657.2900000
IMOEX,D,20150616,00:00,1668.8200000
IMOEX,D,20150617,00:00,1664.6600000
IMOEX,D,20150618,00:00,1660.1400000
IMOEX,D,20150619,00:00,1663.0300000
IMOEX,D,20150622,00:00,1671.8000000
IMOEX,D,20150623,00:00,1657.2300000
IMOEX,D,20150624,00:00,1651.8500000
IMOEX,D,20150625,00:00,1631.9900000
IMOEX,D,20150626,00:00,1644.4500000
IMOEX,D,20150629,00:00,1634.9300000
IMOEX,D,20150630,00:00,1654.5500000
IMOEX,D,20150701,00:00,1639.7000000
IMOEX,D,20150702,00:00,1641.0500000
IMOEX,D,20150703,00:00,1631.6500000
IMOEX,D,20150706,00:00,1621.2700000
IMOEX,D,20150707,00:00,1614.1400000
IMOEX,D,20150708,00:00,1595.0000000
IMOEX,D,20150709,00:00,1614.5900000
IMOEX,D,20150710,00:00,1623.9900000
IMOEX,D,20150713,00:00,1642.9700000
IMOEX,D,20150714,00:00,1647.0100000
IMOEX,D,20150715,00:00,1641.2200000
IMOEX,D,20150716,00:00,1652.5900000
IMOEX,D,20150717,00:00,1650.0800000
IMOEX,D,20150720,00:00,1626.7600000
IMOEX,D,20150721,00:00,1635.6900000
IMOEX,D,20150722,00:00,1635.6300000
IMOEX,D,20150723,00:00,1616.1400000
