<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,D,20210104,00:00,212.7100000
GAZP,D,20210105,00:00,215.3200000
GAZP,D,20210106,00:00,214.3800000
GAZP,D,20210108,00:00,225.4900000
GAZP,D,20210111,00:00,227.6000000
GAZP,D,20210112,00:00,228.6900000
GAZP,D,20210113,00:00,226.8000000
GAZP,D,20210114,00:00,228.8600000
GAZP,D,20210115,00:00,226.5000000
GAZP,D,20210118,00:00,226.8800000
GAZP,D,20210119,00:00,223.1500000
GAZP,D,20210120,00:00,224.3000000
GAZP,D,20210121,00:00,217.2800000
GAZP,D,20210122,00:00,215.4900000
GAZP,D,20210125,00:00,218.6800000
GAZP,D,20210126,00:00,218.8000000
GAZP,D,20210127,00:00,217.4000000
GAZP,D,20210128,00:00,217.7000000
GAZP,D,20210129,00:00,212.8300000
GAZP,D,20210201,00:00,214.6600000
GAZP,D,20210202,00:00,214.4200000
GAZP,D,20210203,00:00,218.1000000
GAZP,D,20210204,00:00,219.7900000
GAZP,D,20210205,00:00,222.0100000
GAZP,D,20210208,00:00,228.0000000
GAZP,D,20210209,00:00,227.7300000
GAZP,D,20210210,00:00,223.2400000
GAZP,D,20210211,00:00,221.3500000
GAZP,D,20210212,00:00,226.7100000
GAZP,D,20210215,00:00,229.2200000
GAZP,D,20210216,00:00,232.4600000
GAZP,D,20210217,00:00,229.1400000
GAZP,D,20210218,00:00,224.4700000
GAZP,D,20210219,00:00,226.0000000
GAZP,D,20210220,00:00,225.8400000
GAZP,D,20210222,00:00,225.6300000
GAZP,D,20210224,00:00,222.5500000
GAZP,D,20210225,00:00,221.7000000
GAZP,D,20210226,00:00,217.5600000
GAZP,D,20210301,00:00,221.4700000
GAZP,D,20210302,00:00,222.7400000
GAZP,D,20210303,00:00,222.1500000
GAZP,D,20210304,00:00,221.1400000
GAZP,D,20210305,00:00,227.0000000
GAZP,D,20210309,00:00,232.1000000
GAZP,D,20210310,00:00,231.6900000
GAZP,D,20210311,00:00,232.4700000
GAZP,D,20210312,00:00,233.8000000
GAZP,D,20210315,00:00,237.7900000
GAZP,D,20210316,00:00,234.0200000
GAZP,D,20210317,00:00,229.9000000
GAZP,D,20210318,00:00,224.3500000
GAZP,D,20210319,00:00,225.4000000
GAZP,D,20210322,00:00,221.8800000
GAZP,D,20210323,00:00,221.6200000
GAZP,D,20210324,00:00,223.6500000
GAZP,D,20210325,00:00,224.8400000
GAZP,D,20210326,00:00,227.3000000
GAZP,D,20210329,00:00,228.7400000
GAZP,D,20210330,00:00,225.9300000
GAZP,D,20210331,00:00,227.2400000
GAZP,D,20210401,00:00,226.9400000
GAZP,D,20210402,00:00,228.4000000
GAZP,D,20210405,00:00,225.0600000
GAZP,D,20210406,00:00,222.9500000
GAZP,D,20210407,00:00,224.5100000
GAZP,D,20210408,00:00,224.3000000
GAZP,D,20210409,00:00,222.1500000
GAZP,D,20210412,00:00,222.8700000
GAZP,D,20210413,00:00,227.9900000
GAZP,D,20210414,00:00,235.3200000
GAZP,D,20210415,00:00,234.6300000
GAZP,D,20210416,00:00,235.1000000
