<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20130211,00:00,58.1500000,58.1500000,51.2300000,55.0000000,5897620
MOEX,W,20130218,00:00,55.0000000,56.6000000,53.8900000,54.5000000,7691190
MOEX,W,20130225,00:00,54.7600000,54.8000000,52.5000000,52.5000000,6870720
MOEX,W,20130304,00:00,52.5000000,54.2000000,52.3000000,53.9900000,4281800
MOEX,W,20130311,00:00,53.9800000,55.2400000,53.2700000,55.0000000,19363750
MOEX,W,20130318,00:00,52.7500000,53.4300000,50.7600000,51.9400000,4413820
MOEX,W,20130325,00:00,52.3800000,52.3800000,48.8000000,49.4800000,1764710
MOEX,W,20130401,00:00,50.1800000,50.1800000,47.4200000,48.5000000,687050
MOEX,W,20130408,00:00,48.6700000,48.8800000,45.0000000,45.4500000,1816090
MOEX,W,20130415,00:00,45.5000000,46.2000000,42.5700000,43.3800000,5229020
MOEX,W,20130422,00:00,43.9900000,44.9500000,43.5000000,44.6900000,3142750
MOEX,W,20130429,00:00,44.9100000,45.0100000,43.7500000,44.9800000,852760
MOEX,W,20130506,00:00,45.2900000,49.9000000,45.2900000,48.6000000,2592400
MOEX,W,20130513,00:00,49.2700000,50.2900000,48.6300000,50.0900000,2291240
MOEX,W,20130520,00:00,49.9900000,55.0600000,45.2500000,52.5100000,4333550
MOEX,W,20130527,00:00,53.2900000,53.9700000,52.8000000,53.3700000,2253580
MOEX,W,20130603,00:00,53.4600000,54.7800000,52.4500000,53.5300000,3877130
MOEX,W,20130610,00:00,53.6900000,53.7100000,51.4900000,51.5600000,1698610
MOEX,W,20130617,00:00,51.5700000,54.0000000,49.7800000,49.7800000,4112360
MOEX,W,20130624,00:00,50.4900000,54.4100000,49.7900000,53.2100000,7606950
MOEX,W,20130701,00:00,53.4800000,54.2300000,53.4300000,53.8900000,2379810
MOEX,W,20130708,00:00,53.8900000,54.2000000,53.2600000,53.9000000,2606690
MOEX,W,20130715,00:00,53.9900000,54.2800000,53.2800000,53.8500000,2306500
MOEX,W,20130722,00:00,53.7100000,54.5000000,53.6400000,54.4300000,3045640
MOEX,W,20130729,00:00,54.4300000,62.3000000,54.3000000,59.0000000,6371810
MOEX,W,20130805,00:00,59.5400000,62.4200000,55.1200000,56.1000000,3475200
MOEX,W,20130812,00:00,56.4300000,57.3300000,55.9300000,56.2000000,3773610
MOEX,W,20130819,00:00,56.1500000,57.7100000,55.9500000,57.3000000,3462170
MOEX,W,20130826,00:00,57.2800000,63.0000000,57.0000000,61.0000000,4482450
MOEX,W,20130902,00:00,61.2700000,67.2500000,60.7600000,64.8700000,8072460
MOEX,W,20130909,00:00,65.6100000,66.7000000,63.0700000,64.8200000,8831440
MOEX,W,20130916,00:00,65.6800000,67.4000000,62.5700000,63.2500000,14612970
MOEX,W,20130923,00:00,62.9800000,64.6500000,59.3600000,60.6400000,10749490
MOEX,W,20130930,00:00,60.5100000,65.9500000,60.4200000,65.8600000,6982690
MOEX,W,20131007,00:00,65.6700000,67.5000000,64.1900000,67.5000000,8825450
MOEX,W,20131014,00:00,66.8100000,69.9900000,66.0500000,68.1000000,9009990
MOEX,W,20131021,00:00,67.8700000,69.2100000,65.5900000,66.0000000,48499600
MOEX,W,20131028,00:00,66.0000000,66.1400000,60.9000000,61.4000000,23661140
MOEX,W,20131104,00:00,61.9200000,63.2600000,60.6000000,61.4500000,51588630
MOEX,W,20131111,00:00,61.6000000,65.7500000,61.0400000,64.9200000,30040570
MOEX,W,20131118,00:00,65.0400000,67.5600000,64.3000000,67.1500000,28499990
MOEX,W,20131125,00:00,67.0000000,67.9700000,64.9000000,67.0000000,47205740
MOEX,W,20131202,00:00,66.9300000,66.9600000,61.4800000,63.3000000,23792210
MOEX,W,20131209,00:00,63.7400000,64.4200000,62.4300000,63.8000000,17765800
MOEX,W,20131216,00:00,63.9900000,64.0000000,61.6300000,63.0900000,15966560
MOEX,W,20131223,00:00,63.3900000,65.9200000,62.2800000,64.2600000,24077400
MOEX,W,20131230,00:00,64.2400000,65.2000000,63.7400000,65.0000000,5580870
MOEX,W,20140106,00:00,63.2000000,65.4300000,62.5500000,65.3900000,8399530
MOEX,W,20140113,00:00,65.2500000,65.4600000,64.0500000,64.2600000,8112660
