<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,20210104,00:00,272.0000000
SBER,D,20210105,00:00,275.2000000
SBER,D,20210106,00:00,272.9300000
SBER,D,20210108,00:00,283.6400000
SBER,D,20210111,00:00,289.4900000
SBER,D,20210112,00:00,289.9900000
SBER,D,20210113,00:00,283.7800000
SBER,D,20210114,00:00,284.7900000
SBER,D,20210115,00:00,276.9000000
SBER,D,20210118,00:00,279.7900000
SBER,D,20210119,00:00,278.1900000
SBER,D,20210120,00:00,279.8000000
SBER,D,20210121,00:00,274.4000000
SBER,D,20210122,00:00,268.2500000
SBER,D,20210125,00:00,265.3000000
SBER,D,20210126,00:00,269.3400000
SBER,D,20210127,00:00,265.5000000
SBER,D,20210128,00:00,265.9600000
SBER,D,20210129,00:00,258.1100000
SBER,D,20210201,00:00,263.8000000
SBER,D,20210202,00:00,263.1500000
SBER,D,20210203,00:00,263.5300000
SBER,D,20210204,00:00,270.1100000
SBER,D,20210205,00:00,271.7000000
SBER,D,20210208,00:00,275.2000000
SBER,D,20210209,00:00,268.9800000
SBER,D,20210210,00:00,265.9000000
SBER,D,20210211,00:00,264.7000000
SBER,D,20210212,00:00,266.0000000
SBER,D,20210215,00:00,271.8100000
SBER,D,20210216,00:00,270.9000000
SBER,D,20210217,00:00,270.9000000
SBER,D,20210218,00:00,266.9900000
SBER,D,20210219,00:00,271.3400000
SBER,D,20210220,00:00,270.5100000
SBER,D,20210222,00:00,273.7100000
SBER,D,20210224,00:00,271.9000000
SBER,D,20210225,00:00,270.7100000
SBER,D,20210226,00:00,270.1700000
SBER,D,20210301,00:00,273.5800000
SBER,D,20210302,00:00,279.1000000
SBER,D,20210303,00:00,278.0100000
SBER,D,20210304,00:00,274.7500000
SBER,D,20210305,00:00,277.5000000
SBER,D,20210309,00:00,285.7900000
SBER,D,20210310,00:00,282.2400000
SBER,D,20210311,00:00,286.0000000
SBER,D,20210312,00:00,284.9300000
SBER,D,20210315,00:00,292.7400000
SBER,D,20210316,00:00,292.3300000
SBER,D,20210317,00:00,283.3500000
SBER,D,20210318,00:00,279.2500000
SBER,D,20210319,00:00,285.4700000
SBER,D,20210322,00:00,288.6500000
SBER,D,20210323,00:00,282.6000000
SBER,D,20210324,00:00,285.7900000
SBER,D,20210325,00:00,286.6600000
SBER,D,20210326,00:00,291.2200000
SBER,D,20210329,00:00,293.3000000
SBER,D,20210330,00:00,293.2500000
SBER,D,20210331,00:00,291.0200000
SBER,D,20210401,00:00,290.2400000
SBER,D,20210402,00:00,291.7000000
SBER,D,20210405,00:00,288.7800000
SBER,D,20210406,00:00,281.5000000
SBER,D,20210407,00:00,283.9800000
SBER,D,20210408,00:00,283.8900000
SBER,D,20210409,00:00,281.0700000
SBER,D,20210412,00:00,281.7500000
SBER,D,20210413,00:00,287.9500000
SBER,D,20210414,00:00,287.1800000
SBER,D,20210415,00:00,283.7200000
SBER,D,20210416,00:00,288.5000000
SBER,D,20210419,00:00,287.7200000
SBER,D,20210420,00:00,287.4200000
SBER,D,20210421,00:00,289.2500000
SBER,D,20210422,00:00,292.1800000
SBER,D,20210423,00:00,293.1900000
SBER,D,20210426,00:00,295.2700000
SBER,D,20210427,00:00,298.5000000
SBER,D,20210428,00:00,298.4900000
SBER,D,20210429,00:00,297.1000000
SBER,D,20210430,00:00,297.7300000
SBER,D,20210504,00:00,303.7000000
SBER,D,20210505,00:00,305.9900000
SBER,D,20210506,00:00,314.7200000
SBER,D,20210507,00:00,317.9400000
SBER,D,20210510,00:00,320.1900000
SBER,D,20210511,00:00,307.1600000
SBER,D,20210512,00:00,302.0200000
SBER,D,20210513,00:00,306.7400000
SBER,D,20210514,00:00,304.1000000
SBER,D,20210517,00:00,303.9400000
SBER,D,20210518,00:00,305.7800000
SBER,D,20210519,00:00,297.0000000
SBER,D,20210520,00:00,296.7200000
SBER,D,20210521,00:00,301.2300000
SBER,D,20210524,00:00,300.7000000
SBER,D,20210525,00:00,306.8000000
SBER,D,20210526,00:00,307.0100000
SBER,D,20210527,00:00,312.7200000
SBER,D,20210528,00:00,309.5600000
SBER,D,20210531,00:00,310.7900000
SBER,D,20210601,00:00,311.6000000
SBER,D,20210602,00:00,313.9800000
SBER,D,20210603,00:00,312.4100000
SBER,D,20210604,00:00,310.9400000
SBER,D,20210607,00:00,315.5300000
SBER,D,20210608,00:00,314.8300000
SBER,D,20210609,00:00,314.7800000
SBER,D,20210610,00:00,314.6200000
SBER,D,20210611,00:00,313.0000000
SBER,D,20210614,00:00,314.1200000
SBER,D,20210615,00:00,312.5100000
SBER,D,20210616,00:00,311.6100000
SBER,D,20210617,00:00,313.9000000
SBER,D,20210618,00:00,309.3000000
SBER,D,20210621,00:00,310.4000000
SBER,D,20210622,00:00,309.7300000
SBER,D,20210623,00:00,309.7900000
SBER,D,20210624,00:00,310.0000000
SBER,D,20210625,00:00,311.8100000
SBER,D,20210628,00:00,309.4800000
SBER,D,20210629,00:00,306.1000000
SBER,D,20210630,00:00,306.4500000
SBER,D,20210701,00:00,305.7800000
SBER,D,20210702,00:00,307.3900000
SBER,D,20210705,00:00,307.0000000
SBER,D,20210706,00:00,303.3400000
SBER,D,20210707,00:00,304.0600000
SBER,D,20210708,00:00,302.6300000
SBER,D,20210709,00:00,303.5600000
SBER,D,20210712,00:00,306.2300000
SBER,D,20210713,00:00,303.0000000
SBER,D,20210714,00:00,301.5000000
SBER,D,20210715,00:00,301.7200000
SBER,D,20210716,00:00,298.8500000
SBER,D,20210719,00:00,291.4600000
SBER,D,20210720,00:00,296.1000000
SBER,D,20210721,00:00,294.8600000
SBER,D,20210722,00:00,297.2700000
SBER,D,20210723,00:00,296.3800000
SBER,D,20210726,00:00,303.3400000
SBER,D,20210727,00:00,299.7100000
SBER,D,20210728,00:00,302.9000000
SBER,D,20210729,00:00,303.1200000
SBER,D,20210730,00:00,305.5900000
SBER,D,20210802,00:00,306.5100000
SBER,D,20210803,00:00,309.8900000
SBER,D,20210804,00:00,311.1000000
SBER,D,20210805,00:00,315.8200000
SBER,D,20210806,00:00,319.1500000
SBER,D,20210809,00:00,326.9100000
SBER,D,20210810,00:00,330.1100000
SBER,D,20210811,00:00,329.9000000
SBER,D,20210812,00:00,328.5700000
SBER,D,20210813,00:00,328.6800000
SBER,D,20210816,00:00,329.3600000
SBER,D,20210817,00:00,334.5000000
SBER,D,20210818,00:00,334.9000000
SBER,D,20210819,00:00,332.6900000
SBER,D,20210820,00:00,325.6700000
SBER,D,20210823,00:00,329.2200000
SBER,D,20210824,00:00,324.8300000
SBER,D,20210825,00:00,324.5700000
SBER,D,20210826,00:00,322.5400000
SBER,D,20210827,00:00,327.4100000
SBER,D,20210830,00:00,328.2800000
SBER,D,20210831,00:00,327.9400000
SBER,D,20210901,00:00,334.5700000
SBER,D,20210902,00:00,329.0000000
SBER,D,20210903,00:00,329.7100000
SBER,D,20210906,00:00,329.3700000
SBER,D,20210907,00:00,325.9600000
SBER,D,20210908,00:00,331.7000000
SBER,D,20210909,00:00,326.0100000
SBER,D,20210910,00:00,326.2500000
SBER,D,20210913,00:00,327.4100000
SBER,D,20210914,00:00,326.4800000
SBER,D,20210915,00:00,333.5100000
SBER,D,20210916,00:00,326.9900000
SBER,D,20210917,00:00,329.5600000
SBER,D,20210920,00:00,326.9200000
SBER,D,20210921,00:00,323.2500000
SBER,D,20210922,00:00,327.8000000
SBER,D,20210923,00:00,327.0200000
SBER,D,20210924,00:00,325.4400000
SBER,D,20210927,00:00,331.6800000
SBER,D,20210928,00:00,329.3000000
SBER,D,20210929,00:00,328.4300000
SBER,D,20210930,00:00,340.9900000
SBER,D,20211001,00:00,338.4800000
SBER,D,20211004,00:00,345.8500000
SBER,D,20211005,00:00,363.2000000
SBER,D,20211006,00:00,364.2800000
SBER,D,20211007,00:00,368.9300000
SBER,D,20211008,00:00,373.0100000
SBER,D,20211011,00:00,387.6000000
SBER,D,20211012,00:00,377.7900000
SBER,D,20211013,00:00,378.8000000
SBER,D,20211014,00:00,376.0900000
SBER,D,20211015,00:00,371.8200000
SBER,D,20211018,00:00,364.6000000
SBER,D,20211019,00:00,373.1800000
SBER,D,20211020,00:00,370.1600000
SBER,D,20211021,00:00,364.6000000
SBER,D,20211022,00:00,364.3700000
SBER,D,20211025,00:00,369.9900000
SBER,D,20211026,00:00,372.1600000
SBER,D,20211027,00:00,371.3600000
SBER,D,20211028,00:00,365.3600000
SBER,D,20211029,00:00,356.1400000
SBER,D,20211101,00:00,370.9600000
SBER,D,20211102,00:00,370.7000000
SBER,D,20211103,00:00,370.1300000
SBER,D,20211105,00:00,360.2100000
SBER,D,20211108,00:00,358.3900000
SBER,D,20211109,00:00,357.4400000
SBER,D,20211110,00:00,348.6500000
SBER,D,20211111,00:00,356.2400000
SBER,D,20211112,00:00,347.5900000
SBER,D,20211115,00:00,344.3900000
SBER,D,20211116,00:00,337.9100000
SBER,D,20211117,00:00,339.8900000
SBER,D,20211118,00:00,336.9300000
SBER,D,20211119,00:00,327.5600000
SBER,D,20211122,00:00,309.1500000
SBER,D,20211123,00:00,326.8400000
SBER,D,20211124,00:00,321.2200000
SBER,D,20211125,00:00,317.2900000
SBER,D,20211126,00:00,304.4200000
SBER,D,20211129,00:00,316.5700000
SBER,D,20211130,00:00,315.0000000
SBER,D,20211201,00:00,324.4000000
SBER,D,20211202,00:00,326.8000000
SBER,D,20211203,00:00,320.6600000
SBER,D,20211206,00:00,307.5000000
SBER,D,20211207,00:00,309.7900000
SBER,D,20211208,00:00,296.9500000
SBER,D,20211209,00:00,300.4000000
SBER,D,20211210,00:00,297.4400000
SBER,D,20211213,00:00,280.6400000
SBER,D,20211214,00:00,284.9000000
SBER,D,20211215,00:00,286.6500000
SBER,D,20211216,00:00,295.8900000
SBER,D,20211217,00:00,294.9000000
SBER,D,20211220,00:00,288.4000000
SBER,D,20211221,00:00,291.7000000
SBER,D,20211222,00:00,294.0000000
SBER,D,20211223,00:00,292.8000000
SBER,D,20211224,00:00,293.8900000
SBER,D,20211227,00:00,295.6800000
SBER,D,20211228,00:00,295.0000000
SBER,D,20211229,00:00,293.5100000
SBER,D,20211230,00:00,293.4900000
SBER,D,20220103,00:00,305.4700000
SBER,D,20220104,00:00,304.2400000
SBER,D,20220105,00:00,287.0100000
SBER,D,20220106,00:00,293.9200000
SBER,D,20220110,00:00,291.6900000
SBER,D,20220111,00:00,291.8800000
SBER,D,20220112,00:00,290.4000000
SBER,D,20220113,00:00,272.5000000
SBER,D,20220114,00:00,261.0000000
SBER,D,20220117,00:00,257.7800000
SBER,D,20220118,00:00,234.7000000
SBER,D,20220119,00:00,244.8600000
SBER,D,20220120,00:00,254.6100000
SBER,D,20220121,00:00,246.9000000
SBER,D,20220124,00:00,236.9700000
SBER,D,20220125,00:00,239.5900000
SBER,D,20220126,00:00,236.9000000
SBER,D,20220127,00:00,254.2900000
SBER,D,20220128,00:00,257.8200000
SBER,D,20220131,00:00,269.4200000
SBER,D,20220201,00:00,264.7000000
SBER,D,20220202,00:00,261.0000000
SBER,D,20220203,00:00,250.7900000
SBER,D,20220204,00:00,256.5300000
SBER,D,20220207,00:00,257.6100000
SBER,D,20220208,00:00,269.8000000
SBER,D,20220209,00:00,279.0900000
SBER,D,20220210,00:00,275.2000000
SBER,D,20220211,00:00,260.8300000
SBER,D,20220214,00:00,256.7000000
SBER,D,20220215,00:00,274.0000000
SBER,D,20220216,00:00,277.7800000
SBER,D,20220217,00:00,260.5800000
SBER,D,20220218,00:00,250.2800000
SBER,D,20220221,00:00,201.0000000
SBER,D,20220222,00:00,208.5300000
SBER,D,20220224,00:00,132.1800000
SBER,D,20220225,00:00,131.1200000
SBER,D,20220324,00:00,136.2400000
SBER,D,20220325,00:00,131.5000000
SBER,D,20220328,00:00,125.0000000
SBER,D,20220329,00:00,128.7700000
SBER,D,20220330,00:00,134.6000000
SBER,D,20220331,00:00,143.6900000
SBER,D,20220401,00:00,154.5000000
SBER,D,20220404,00:00,166.0000000
SBER,D,20220405,00:00,154.1000000
SBER,D,20220406,00:00,141.6000000
SBER,D,20220407,00:00,147.5000000
SBER,D,20220408,00:00,143.7200000
SBER,D,20220411,00:00,138.6900000
SBER,D,20220412,00:00,135.3800000
SBER,D,20220413,00:00,135.5000000
SBER,D,20220414,00:00,129.0500000
SBER,D,20220415,00:00,130.8800000
SBER,D,20220418,00:00,123.8500000
SBER,D,20220419,00:00,120.3000000
SBER,D,20220420,00:00,121.5000000
SBER,D,20220421,00:00,118.6500000
SBER,D,20220422,00:00,116.9700000
SBER,D,20220425,00:00,111.9000000
SBER,D,20220426,00:00,122.3600000
SBER,D,20220427,00:00,131.1100000
SBER,D,20220428,00:00,123.8500000
SBER,D,20220429,00:00,128.8000000
SBER,D,20220504,00:00,123.2000000
SBER,D,20220505,00:00,124.8000000
SBER,D,20220506,00:00,123.1000000
SBER,D,20220511,00:00,123.3400000
SBER,D,20220512,00:00,119.1500000
SBER,D,20220513,00:00,120.2000000
SBER,D,20220516,00:00,123.4100000
SBER,D,20220517,00:00,127.7500000
SBER,D,20220518,00:00,125.1200000
SBER,D,20220519,00:00,125.6000000
SBER,D,20220520,00:00,122.2000000
SBER,D,20220523,00:00,119.4600000
SBER,D,20220524,00:00,123.6000000
SBER,D,20220525,00:00,124.1500000
SBER,D,20220526,00:00,123.0000000
SBER,D,20220527,00:00,121.2200000
SBER,D,20220530,00:00,120.6700000
SBER,D,20220531,00:00,118.3000000
SBER,D,20220601,00:00,121.9700000
SBER,D,20220602,00:00,119.0000000
SBER,D,20220603,00:00,119.2100000
SBER,D,20220606,00:00,118.7800000
SBER,D,20220607,00:00,118.3200000
SBER,D,20220608,00:00,119.9000000
SBER,D,20220609,00:00,118.2000000
SBER,D,20220610,00:00,118.0700000
SBER,D,20220614,00:00,118.9800000
SBER,D,20220615,00:00,121.1400000
SBER,D,20220616,00:00,123.7300000
SBER,D,20220617,00:00,123.8800000
SBER,D,20220620,00:00,131.2900000
SBER,D,20220621,00:00,129.1000000
SBER,D,20220622,00:00,133.1100000
SBER,D,20220623,00:00,136.8500000
SBER,D,20220624,00:00,137.7600000
SBER,D,20220627,00:00,141.1500000
SBER,D,20220628,00:00,139.9900000
SBER,D,20220629,00:00,132.8000000
SBER,D,20220630,00:00,125.2000000
SBER,D,20220701,00:00,129.9100000
SBER,D,20220704,00:00,131.4300000
SBER,D,20220705,00:00,133.5000000
SBER,D,20220706,00:00,134.0000000
SBER,D,20220707,00:00,133.0900000
SBER,D,20220708,00:00,133.3000000
SBER,D,20220711,00:00,126.8000000
SBER,D,20220712,00:00,129.0000000
SBER,D,20220713,00:00,126.0000000
SBER,D,20220714,00:00,125.9000000
SBER,D,20220715,00:00,128.9000000
SBER,D,20220718,00:00,128.1100000
SBER,D,20220719,00:00,127.7600000
SBER,D,20220720,00:00,126.4400000
SBER,D,20220721,00:00,125.4800000
SBER,D,20220722,00:00,128.8200000
SBER,D,20220725,00:00,131.4500000
SBER,D,20220726,00:00,132.9000000
SBER,D,20220727,00:00,132.5000000
SBER,D,20220728,00:00,131.7200000
SBER,D,20220729,00:00,131.9000000
SBER,D,20220801,00:00,127.3400000
SBER,D,20220802,00:00,127.5300000
SBER,D,20220803,00:00,126.8500000
SBER,D,20220804,00:00,126.9500000
SBER,D,20220805,00:00,122.4000000
SBER,D,20220808,00:00,123.8100000
SBER,D,20220809,00:00,126.4000000
SBER,D,20220810,00:00,126.2000000
SBER,D,20220811,00:00,123.4500000
SBER,D,20220812,00:00,124.8800000
SBER,D,20220815,00:00,125.0000000
SBER,D,20220816,00:00,126.3900000
SBER,D,20220817,00:00,124.5000000
SBER,D,20220818,00:00,126.3000000
SBER,D,20220819,00:00,125.2000000
SBER,D,20220822,00:00,126.0600000
SBER,D,20220823,00:00,130.3800000
SBER,D,20220824,00:00,128.1500000
SBER,D,20220825,00:00,128.1800000
SBER,D,20220826,00:00,130.4000000
SBER,D,20220829,00:00,131.1700000
SBER,D,20220830,00:00,130.0500000
SBER,D,20220831,00:00,134.2500000
SBER,D,20220901,00:00,138.2000000
SBER,D,20220902,00:00,143.8000000
SBER,D,20220905,00:00,141.0000000
SBER,D,20220906,00:00,137.2300000
SBER,D,20220907,00:00,136.8600000
SBER,D,20220908,00:00,134.5100000
SBER,D,20220909,00:00,138.1500000
SBER,D,20220912,00:00,138.7000000
SBER,D,20220913,00:00,137.0000000
SBER,D,20220914,00:00,138.9000000
SBER,D,20220915,00:00,139.4800000
SBER,D,20220916,00:00,137.7300000
SBER,D,20220919,00:00,138.0400000
SBER,D,20220920,00:00,125.1000000
SBER,D,20220921,00:00,120.2300000
SBER,D,20220922,00:00,124.3100000
SBER,D,20220923,00:00,119.3900000
SBER,D,20220926,00:00,107.0600000
SBER,D,20220927,00:00,112.9200000
SBER,D,20220928,00:00,111.0600000
SBER,D,20220929,00:00,110.4100000
SBER,D,20220930,00:00,110.2100000
SBER,D,20221003,00:00,114.3500000
SBER,D,20221004,00:00,110.5500000
SBER,D,20221005,00:00,108.5100000
SBER,D,20221006,00:00,108.2400000
SBER,D,20221007,00:00,101.5000000
SBER,D,20221010,00:00,106.7100000
SBER,D,20221011,00:00,107.7200000
SBER,D,20221012,00:00,105.9000000
SBER,D,20221013,00:00,106.5000000
SBER,D,20221014,00:00,107.7800000
SBER,D,20221017,00:00,112.4400000
SBER,D,20221018,00:00,110.8800000
SBER,D,20221019,00:00,112.3900000
SBER,D,20221020,00:00,116.9800000
SBER,D,20221021,00:00,119.4500000
SBER,D,20221024,00:00,118.8000000
SBER,D,20221025,00:00,124.3600000
SBER,D,20221026,00:00,124.4300000
SBER,D,20221027,00:00,126.6100000
SBER,D,20221028,00:00,126.9700000
SBER,D,20221031,00:00,126.7200000
SBER,D,20221101,00:00,127.0500000
SBER,D,20221102,00:00,125.4900000
SBER,D,20221103,00:00,125.7500000
SBER,D,20221107,00:00,132.0000000
SBER,D,20221108,00:00,131.2900000
SBER,D,20221109,00:00,127.3000000
SBER,D,20221110,00:00,136.6800000
SBER,D,20221111,00:00,136.9800000
SBER,D,20221114,00:00,139.8000000
SBER,D,20221115,00:00,135.6600000
SBER,D,20221116,00:00,139.1800000
SBER,D,20221117,00:00,137.5700000
SBER,D,20221118,00:00,136.8900000
SBER,D,20221121,00:00,134.4600000
SBER,D,20221122,00:00,135.6500000
SBER,D,20221123,00:00,136.5900000
SBER,D,20221124,00:00,136.6100000
SBER,D,20221125,00:00,136.5300000
SBER,D,20221128,00:00,135.5300000
SBER,D,20221129,00:00,136.3700000
SBER,D,20221130,00:00,136.7800000
SBER,D,20221201,00:00,137.1500000
SBER,D,20221202,00:00,136.6600000
SBER,D,20221205,00:00,142.0000000
SBER,D,20221206,00:00,140.6100000
SBER,D,20221207,00:00,142.3200000
SBER,D,20221208,00:00,139.9200000
SBER,D,20221209,00:00,140.0300000
SBER,D,20221212,00:00,139.4800000
SBER,D,20221213,00:00,138.1300000
SBER,D,20221214,00:00,137.0700000
