<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,20210104,00:00,5185.2000000
YNDX,D,20210105,00:00,5340.4000000
YNDX,D,20210106,00:00,5188.8000000
YNDX,D,20210108,00:00,5254.2000000
YNDX,D,20210111,00:00,5214.2000000
YNDX,D,20210112,00:00,5121.8000000
YNDX,D,20210113,00:00,5079.8000000
YNDX,D,20210114,00:00,5077.4000000
YNDX,D,20210115,00:00,4998.0000000
YNDX,D,20210118,00:00,5043.6000000
YNDX,D,20210119,00:00,5008.8000000
YNDX,D,20210120,00:00,5170.0000000
YNDX,D,20210121,00:00,5069.0000000
YNDX,D,20210122,00:00,5015.8000000
YNDX,D,20210125,00:00,4901.8000000
YNDX,D,20210126,00:00,4898.2000000
YNDX,D,20210127,00:00,4828.4000000
YNDX,D,20210128,00:00,4876.2000000
YNDX,D,20210129,00:00,4760.6000000
YNDX,D,20210201,00:00,4847.4000000
YNDX,D,20210202,00:00,4997.0000000
YNDX,D,20210203,00:00,4917.2000000
YNDX,D,20210204,00:00,5016.6000000
YNDX,D,20210205,00:00,4973.6000000
YNDX,D,20210208,00:00,5060.4000000
YNDX,D,20210209,00:00,5147.2000000
YNDX,D,20210210,00:00,5306.0000000
YNDX,D,20210211,00:00,5361.6000000
YNDX,D,20210212,00:00,5448.0000000
YNDX,D,20210215,00:00,5478.0000000
YNDX,D,20210216,00:00,5348.0000000
YNDX,D,20210217,00:00,5187.0000000
YNDX,D,20210218,00:00,5007.8000000
YNDX,D,20210219,00:00,5005.0000000
YNDX,D,20210220,00:00,5064.0000000
YNDX,D,20210222,00:00,4918.0000000
YNDX,D,20210224,00:00,4928.2000000
YNDX,D,20210225,00:00,4857.4000000
YNDX,D,20210226,00:00,4813.2000000
YNDX,D,20210301,00:00,5004.6000000
YNDX,D,20210302,00:00,5027.0000000
YNDX,D,20210303,00:00,4890.2000000
YNDX,D,20210304,00:00,4718.2000000
YNDX,D,20210305,00:00,4722.8000000
YNDX,D,20210309,00:00,4707.6000000
YNDX,D,20210310,00:00,4692.0000000
YNDX,D,20210311,00:00,4889.8000000
YNDX,D,20210312,00:00,4960.4000000
YNDX,D,20210315,00:00,5039.0000000
YNDX,D,20210316,00:00,5161.8000000
YNDX,D,20210317,00:00,5037.6000000
YNDX,D,20210318,00:00,4858.0000000
YNDX,D,20210319,00:00,4880.0000000
YNDX,D,20210322,00:00,4891.0000000
YNDX,D,20210323,00:00,4906.0000000
YNDX,D,20210324,00:00,4850.0000000
YNDX,D,20210325,00:00,4741.0000000
YNDX,D,20210326,00:00,4785.0000000
YNDX,D,20210329,00:00,4830.0000000
YNDX,D,20210330,00:00,4788.0000000
YNDX,D,20210331,00:00,4859.0000000
YNDX,D,20210401,00:00,4949.2000000
YNDX,D,20210402,00:00,4935.0000000
YNDX,D,20210405,00:00,4940.0000000
YNDX,D,20210406,00:00,4961.8000000
YNDX,D,20210407,00:00,4845.2000000
YNDX,D,20210408,00:00,4888.0000000
YNDX,D,20210409,00:00,4813.0000000
YNDX,D,20210412,00:00,4854.8000000
YNDX,D,20210413,00:00,4600.0000000
YNDX,D,20210414,00:00,4661.0000000
YNDX,D,20210415,00:00,4677.8000000
YNDX,D,20210416,00:00,4690.0000000
YNDX,D,20210419,00:00,4663.8000000
YNDX,D,20210420,00:00,4665.6000000
YNDX,D,20210421,00:00,4648.0000000
YNDX,D,20210422,00:00,4605.0000000
YNDX,D,20210423,00:00,4570.2000000
YNDX,D,20210426,00:00,4703.6000000
YNDX,D,20210427,00:00,4732.0000000
YNDX,D,20210428,00:00,4834.8000000
YNDX,D,20210429,00:00,5040.0000000
YNDX,D,20210430,00:00,4934.8000000
YNDX,D,20210504,00:00,4802.2000000
YNDX,D,20210505,00:00,4864.4000000
YNDX,D,20210506,00:00,4828.6000000
