Категория: Все категории

Неделя,Акция: (Россия),Экономические санкции: (Россия),Правительство: (Россия),Центральный банк: (Россия),Инвестиция: (Россия)
2021-01-03,89,0,0,0,24
2021-01-10,53,0,57,0,0
2021-01-17,55,34,0,0,0
2021-01-24,75,51,0,29,39
2021-01-31,90,91,44,84,0
2021-02-07,91,99,72,0,32
2021-02-14,97,0,0,0,34
2021-02-21,76,0,38,0,18
2021-02-28,27,0,20,0,100
2021-03-07,25,0,0,12,0
2021-03-14,24,22,13,11,27
2021-03-21,61,0,0,0,0
2021-03-28,26,15,25,0,37
2021-04-04,15,32,25,0,17
2021-04-11,26,55,0,0,59
2021-04-18,76,0,0,16,0
2021-04-25,38,16,0,0,0
2021-05-02,26,32,0,0,29
2021-05-09,32,24,19,0,0
2021-05-16,46,0,0,0,0
2021-05-23,51,18,0,0,0
2021-05-30,19,17,0,0,27
2021-06-06,24,0,31,0,0
2021-06-13,20,30,0,0,29
2021-06-20,52,0,0,0,32
2021-06-27,22,0,0,32,24
2021-07-04,32,0,0,22,61
2021-07-11,63,0,0,0,0
2021-07-18,44,0,0,0,0
2021-07-25,66,0,25,0,0
2021-08-01,57,0,17,0,0
2021-08-08,82,0,0,14,0
2021-08-15,54,0,0,0,22
2021-08-22,42,0,0,0,0
2021-08-29,52,0,0,0,32
2021-09-05,78,0,0,28,31
2021-09-12,28,0,0,52,67
2021-09-19,26,0,0,0,0
2021-09-26,40,0,0,0,25
2021-10-03,51,0,20,0,0
2021-10-10,56,0,0,18,18
2021-10-17,67,0,0,0,0
2021-10-24,90,0,0,0,73
2021-10-31,92,0,0,0,0
2021-11-07,55,0,19,47,45
2021-11-14,95,23,0,0,0
2021-11-21,89,0,24,21,0
2021-11-28,51,0,0,19,33
2021-12-05,47,25,32,0,0
2021-12-12,0,0,0,31,0
2021-12-19,22,0,18,18,22
2021-12-26,0,0,0,0,0
