date,мосбиржа,долг,инвестор,экономика,акции,инвестиции,портфель,инфляция,кризис,кредит,доход,капитал,вложить,война,заболеваемость,правительство,закон,парламент,сбербанк,газпром,роснефть,нефть,короновирус,covid,санкции,США,газ,вклад,депозит,облигация,оружие,спрос,новости,украина,германия,тинькофф,центробанк,какие акции купить в 2022,акции сбербанка курс,индекс мосбиржи,vk акции,газета ру,риа новости,рбк инвестиции,нефть брент,курс доллара,курс евро
2013-01-06,0,61,61,56,37,63,41,68,60,77,75,88,85,45,51,61,74,50,59,74,44,70,35,46,26,58,77,51,80,52,74,58,52,65,61,43,46,0,0,0,0,85,24,69,0,56,55
2013-01-13,0,72,62,74,38,76,65,73,71,81,86,93,56,50,73,86,95,45,57,87,67,75,0,0,50,57,85,64,79,68,73,76,55,69,68,48,24,0,41,0,0,74,33,43,0,59,52
2013-01-20,100,67,86,73,40,81,62,78,65,83,89,92,65,53,39,91,96,67,57,85,54,81,0,0,37,57,92,66,81,83,79,78,57,68,77,49,34,0,0,0,0,74,35,0,0,59,49
2013-01-27,0,74,59,62,41,77,64,67,60,85,73,88,67,57,55,94,81,54,56,87,66,75,30,0,43,54,93,53,83,73,77,59,56,66,69,50,25,34,0,32,0,68,34,0,0,60,52
2013-02-03,0,71,56,65,40,79,57,67,57,90,83,87,71,59,74,97,83,52,58,93,60,87,28,100,59,60,90,66,84,35,78,53,59,74,78,50,39,0,0,0,0,71,36,100,89,59,57
2013-02-10,0,76,69,65,43,71,66,54,67,82,74,82,65,58,75,91,81,49,58,98,56,81,0,0,59,57,92,58,89,48,77,63,73,69,74,53,22,0,42,0,82,68,43,0,27,56,54
2013-02-17,31,68,85,63,42,77,90,65,93,88,74,82,65,61,54,77,77,86,59,88,65,100,64,0,55,56,86,76,73,38,76,58,60,73,74,53,33,0,0,0,0,57,38,0,0,53,54
2013-02-24,0,63,72,67,40,74,62,69,96,73,74,89,53,64,85,87,86,63,58,86,49,91,0,0,62,56,89,70,84,47,73,57,57,68,71,60,23,0,36,0,0,61,34,0,0,56,57
2013-03-03,0,59,65,51,42,65,57,43,95,77,54,73,62,62,34,75,62,52,55,75,63,74,0,0,41,53,75,54,69,58,70,56,53,65,68,58,37,0,0,0,0,59,36,72,59,48,51
2013-03-10,0,65,61,69,38,79,82,70,81,88,76,89,64,74,97,84,75,55,61,84,59,78,0,59,62,59,87,76,96,39,67,65,60,74,72,58,48,0,0,0,46,65,37,0,61,52,57
2013-03-17,0,77,70,68,41,82,72,63,91,88,78,83,89,79,65,88,74,61,63,84,81,79,0,72,48,62,84,71,100,52,69,71,63,80,93,59,44,0,0,0,0,67,39,0,0,55,66
2013-03-24,0,75,77,66,42,96,59,65,100,94,85,94,68,68,55,86,74,63,64,92,98,84,0,31,48,60,82,68,98,33,81,71,69,89,92,63,35,0,40,0,0,88,42,0,0,57,57
2013-03-31,0,68,70,71,42,74,60,80,80,92,82,84,57,100,65,85,72,56,61,88,81,76,52,37,47,58,87,69,84,84,72,66,63,74,68,64,62,74,27,0,0,73,34,0,0,60,59
2013-04-07,26,79,71,71,42,82,75,77,80,88,83,90,47,99,61,92,80,66,62,83,77,89,0,0,56,59,85,72,85,78,71,60,60,76,70,59,30,0,60,100,66,79,40,43,25,60,59
2013-04-14,0,74,81,70,40,88,75,73,81,87,95,83,50,75,62,93,79,68,62,80,74,98,0,0,52,65,82,65,76,40,66,73,61,69,69,57,37,0,0,0,0,75,38,0,64,61,69
2013-04-21,51,76,83,69,43,87,79,88,72,90,83,93,56,66,29,91,74,56,64,86,77,77,0,0,70,64,84,71,67,44,73,67,60,66,77,84,38,0,73,0,0,78,37,0,47,62,64
2013-04-28,0,64,51,51,38,64,44,52,58,72,59,60,45,59,51,55,46,44,57,65,56,66,0,0,37,48,65,48,59,47,66,40,50,53,63,92,21,0,0,0,0,63,27,0,61,45,50
2013-05-05,0,62,45,52,35,58,48,46,56,80,66,61,48,68,17,52,50,45,53,61,51,61,0,50,32,70,66,55,62,36,67,44,50,53,100,98,29,82,0,0,0,74,30,0,0,43,45
2013-05-12,0,69,69,78,39,90,70,76,71,91,74,88,66,61,0,77,76,63,64,86,77,76,100,0,60,100,80,65,72,43,66,62,52,68,78,100,38,0,0,0,0,63,30,0,0,55,60
2013-05-19,0,74,76,71,40,100,74,75,71,90,68,85,49,50,72,100,76,78,68,83,70,74,27,0,61,61,78,74,80,45,66,67,57,66,65,85,37,0,0,0,0,70,35,0,0,56,67
2013-05-26,49,70,41,64,41,91,73,70,65,89,84,88,52,46,53,70,100,68,63,74,78,73,0,0,52,49,75,64,70,52,63,61,58,68,67,85,34,0,0,0,0,72,41,0,31,51,61
2013-06-02,0,73,58,64,37,77,70,80,60,89,73,86,48,48,17,80,76,57,62,81,66,71,65,27,65,46,72,66,71,75,66,69,60,72,75,75,44,35,0,0,0,75,43,0,37,63,77
2013-06-09,0,73,62,63,39,71,50,89,61,85,70,81,64,51,38,73,82,57,60,77,71,70,0,36,50,48,66,45,76,19,62,62,59,63,74,70,39,0,64,0,0,68,40,0,0,70,86
2013-06-16,0,79,62,49,39,72,54,53,53,92,70,80,58,54,49,68,96,54,63,72,100,72,0,85,47,49,67,46,77,24,61,56,56,61,65,64,45,67,30,0,0,75,32,49,0,77,97
2013-06-23,0,66,34,40,38,57,60,41,49,88,50,71,50,93,0,63,60,48,61,93,78,71,0,0,41,51,67,34,71,20,65,40,57,56,56,72,56,0,0,0,0,71,33,84,31,78,88
2013-06-30,28,63,71,32,39,47,57,24,43,80,52,70,78,99,0,70,61,43,68,75,72,66,0,0,41,50,69,36,62,31,68,25,62,63,63,67,26,0,0,0,0,69,40,0,0,83,88
2013-07-07,0,66,60,24,37,32,51,14,40,86,50,68,66,65,23,73,60,33,63,76,77,60,0,0,22,43,69,30,73,22,70,28,58,61,64,65,46,0,0,0,0,80,41,0,82,84,85
2013-07-14,72,70,69,23,38,40,73,30,42,85,42,69,48,57,46,64,54,34,65,83,68,59,0,57,38,44,68,36,75,0,73,24,61,60,58,64,43,100,0,0,0,83,36,0,42,78,82
2013-07-21,0,75,51,22,39,47,56,23,46,86,46,66,73,49,27,75,53,38,61,71,82,71,0,28,24,44,69,34,78,44,72,20,60,65,61,67,48,0,50,0,0,82,39,0,37,71,78
2013-07-28,0,66,54,25,43,42,82,24,43,87,44,69,58,51,0,64,67,38,65,79,88,77,0,0,41,45,67,43,67,19,75,24,59,63,58,56,49,0,100,0,78,77,34,0,36,74,100
2013-08-04,35,70,55,22,40,52,91,26,46,85,41,70,63,48,14,63,58,33,64,82,77,66,19,78,33,44,65,41,72,45,70,25,61,65,66,92,47,0,0,35,0,81,34,0,100,77,94
2013-08-11,81,65,68,25,42,38,83,29,42,88,52,75,87,52,0,63,55,42,69,79,77,66,0,44,34,45,71,35,74,0,74,26,62,69,66,81,40,52,34,0,0,79,36,0,0,76,90
2013-08-18,0,63,60,23,39,49,83,33,42,89,48,79,71,48,44,68,53,39,66,75,67,74,32,48,42,44,69,41,72,9,79,24,59,69,63,67,45,35,0,0,34,79,30,0,0,73,79
2013-08-25,0,67,60,27,39,44,90,29,46,84,47,68,59,57,0,55,50,40,65,82,73,88,0,73,21,51,73,40,72,29,84,24,66,68,65,63,44,0,41,0,0,77,40,0,59,73,79
2013-09-01,85,67,58,63,42,52,98,39,41,81,48,75,67,62,100,62,66,45,66,78,90,86,0,27,30,51,72,80,82,34,68,28,61,67,69,61,40,0,0,0,0,74,45,0,74,76,77
2013-09-08,27,68,50,75,46,60,74,38,49,86,53,81,69,73,28,77,66,51,68,83,73,84,0,36,40,49,75,100,73,65,73,33,61,81,67,57,47,0,0,0,0,91,38,0,30,75,73
2013-09-15,0,66,85,81,46,69,100,53,56,76,58,83,63,59,39,87,75,49,67,85,84,93,0,0,57,48,79,99,72,58,74,52,60,69,69,59,40,0,0,42,0,81,38,0,28,89,80
2013-09-22,37,71,73,77,51,66,67,53,55,87,61,82,96,54,44,80,69,56,64,96,89,85,0,0,60,54,85,95,71,60,75,55,58,69,78,63,45,30,0,0,36,90,34,0,0,88,79
2013-09-29,0,76,71,70,52,66,57,56,84,87,65,85,79,52,42,95,72,55,70,85,88,85,0,0,63,56,81,90,90,62,73,51,60,71,67,62,45,34,29,0,0,79,40,0,58,86,73
