date,госдолг,мосбиржа,экономика,акции,инвестиции,портфолио,инфляция,кредит,доход,капитал,вложить,война,заболеваемость,правительство
2007-01-07,0,48,55,53,57,0,77,65,75,60,0,37,0,60
2007-01-14,0,0,48,41,46,0,51,66,90,58,0,55,0,40
2007-01-21,0,0,40,43,45,85,0,67,87,66,0,53,25,38
2007-01-28,0,0,42,60,23,26,26,53,72,52,32,46,0,47
2007-02-04,0,0,43,60,47,56,25,70,67,55,25,58,26,47
2007-02-11,40,0,44,78,28,62,18,60,44,49,64,45,0,36
2007-02-18,43,0,45,67,47,51,0,65,60,74,100,65,0,30
2007-02-25,0,0,44,63,43,57,62,81,45,67,0,51,57,79
2007-03-04,45,0,42,19,42,42,36,51,62,58,0,49,0,41
2007-03-11,0,0,49,64,57,23,57,68,54,63,0,58,0,48
2007-03-18,0,0,42,60,48,57,0,79,38,79,0,60,35,69
2007-03-25,0,0,57,53,51,42,40,76,43,73,0,56,73,28
2007-04-01,0,0,62,81,47,44,40,83,88,74,0,63,0,66
2007-04-08,0,0,52,67,73,84,54,68,92,100,0,79,0,73
2007-04-15,0,48,64,55,68,66,68,70,74,89,67,81,49,59
2007-04-22,38,0,56,93,62,45,28,75,77,71,0,80,0,45
2007-04-29,68,0,47,85,39,33,50,65,21,45,0,76,0,39
2007-05-06,0,0,49,58,54,53,38,58,73,70,0,98,0,32
2007-05-13,100,0,76,71,72,42,54,79,40,76,0,85,26,48
2007-05-20,81,0,66,61,53,0,52,75,65,56,26,67,0,42
2007-05-27,40,0,54,58,38,33,40,64,18,86,0,51,0,26
2007-06-03,71,0,42,46,55,54,9,67,67,73,24,60,40,28
2007-06-10,0,0,42,43,40,58,0,86,53,55,0,43,0,37
2007-06-17,0,0,32,69,32,34,34,83,54,90,27,44,0,77
2007-06-24,0,0,30,58,42,17,10,70,86,65,0,33,23,48
2007-07-01,52,0,18,71,46,65,29,78,43,76,0,39,0,22
2007-07-08,0,0,14,56,34,41,15,70,8,68,70,32,0,65
2007-07-15,0,0,12,51,32,44,0,78,50,59,56,29,0,52
2007-07-22,0,0,14,64,26,51,43,78,0,53,0,28,0,45
2007-07-29,0,72,12,45,31,28,15,75,55,60,56,36,0,36
2007-08-05,0,63,15,53,36,41,17,94,32,63,0,37,100,42
2007-08-12,0,0,20,58,26,43,15,87,24,62,38,39,0,55
2007-08-19,0,0,13,58,38,33,18,81,30,70,0,32,0,39
2007-08-26,0,0,23,61,28,21,26,87,44,44,0,54,0,43
2007-09-02,0,100,39,54,27,50,19,75,48,59,0,46,0,41
2007-09-09,0,25,48,62,32,37,27,80,57,57,41,51,0,87
2007-09-16,0,0,52,65,50,35,16,76,53,78,22,44,0,83
